date,type,description,detailUrl,pdfUrl,xlsUrl
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19422117,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/2dc2d0c4-32b6-43dc-abe9-3931e67def24.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/6d0f1655-a66c-4054-b4f4-382bef6290d0.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19422174,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/786320bb-c380-4441-9ed4-d0986d8e2ab5.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/45197643-4c7e-467c-b542-16c684075a05.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19422009,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/467a6611-32ca-40ff-bbb5-8b1b907120ce.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/ba70f0c9-4b19-42fb-966f-33b9c828fec5.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19422084,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/587271ac-1ddf-45b3-9ea4-1f7b55dd02ae.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/ca770cc7-cdf6-4b97-a646-232f522bb10b.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19421869,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1c8e066d-bc7a-475e-acbc-ff3616b0e787.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/e671bbac-7f28-4d8d-82f3-bd2be46d916b.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19421947,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/64156471-7f6d-4c13-9926-bdbf122aea15.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/67301bb3-5134-4e23-8c6e-1b34ab0aa564.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19421637,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1bbc574e-b4bf-47e4-81ff-386da1e627be.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/7766e4b9-615f-4e38-ad3e-6c9ae1d5a530.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19421755,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/d103c98e-53c1-42b1-84b9-09fdfe1f131c.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/b78a8583-49f0-4737-9aac-c705c0d1a102.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19421473,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/0f2a356a-8243-4b01-a7b0-cfb1c3087eb3.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/5cc347f6-b1f4-430c-9929-e27a4eced338.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19421565,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/e177ca43-af5a-42e7-95f9-8df672d812b6.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/d1240652-e168-4f5a-b4ab-6c3485cdb23d.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19421311,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/8b8cd938-9e69-4cf6-b3fa-15a7b25805d1.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/54abd7ba-2190-41f1-86cb-5c2258760c1c.xls
"May 07, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19421406,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/17e883f2-4df6-4cc0-a57b-dd1a9d666a99.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/7a6d5ffd-7f86-4e16-ba98-011761535748.xls
"Apr 06, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19323089,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/a77db79b-b07e-4ebc-9736-409880b8b19b.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/26686042-38bd-4565-9f56-80584518b439.xls
"Apr 02, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19315938,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/82606f6e-4c5a-4404-85fc-adbfb4439ddb.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/cf4a0353-6a34-4e0f-9efa-557f7d36d23a.xls
"Apr 02, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19315962,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/3da9426a-23d8-480c-970f-51571c363dae.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/ba91146f-ef8d-4280-a8a2-4d2cdaab8491.xls
"Apr 02, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19315995,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1983ce26-c8f2-4bde-9510-cb05060e66ee.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/562d7ded-f750-487e-a9ba-f4385e2b1e60.xls
"Apr 02, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19315770,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/753bfa66-d034-4772-a8aa-e55ae516ad76.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/a1e1e1f5-5dd4-4a91-ae4e-e5721db5edf0.xls
"Apr 02, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19315796,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/7489b649-139d-4822-8f63-64d635a16c53.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/d1ef6acc-22db-44f6-b4c5-36c9b38497f2.xls
"Apr 02, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19315836,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/28625836-d76a-47cf-ac75-09e39dc97c9a.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/aa130efd-a1fd-42cd-8fdd-3363b2648d39.xls
"Apr 02, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19315900,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/faf4c6fb-290e-4d6d-bc8f-a88f276f968a.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/58a89936-44bb-4c5c-bd5b-374a76725604.xls
"Apr 02, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19315590,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/a3fdf146-8cf1-45e0-8227-9b7b3f33435c.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/c2a6e6ad-d056-4550-b3eb-05899ad3424c.xls
"Mar 13, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19248686,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/8a043055-4265-434e-9dfd-f40b06a14372.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/3f248b3b-69c7-4be6-9e09-dc0515728c37.xls
"Mar 10, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19235831,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/613a21bf-5d90-46a7-b7a4-3327c0285968.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/b3aa3ee2-44cd-4abd-a2c1-b5582c9e21f6.xls
"Feb 20, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19169964,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/de603b86-c017-4fb0-8645-1350624644b3.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/c00461f8-fa26-4c60-90d3-b5b0026c665a.xls
"Feb 13, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19147326,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/fb782141-8b44-48c9-ab45-dd6dce82c8ef.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1739e8d8-6ac4-40ec-afe9-14e92221009a.xls
"Feb 10, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19132628,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/d0c93cc4-b6d4-496d-a57c-ea995131740f.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/0a2ed072-d437-4f6e-8ac0-57c8c66d0491.xls
"Feb 10, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19132546,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/13e2583d-e7e5-49ab-bfe8-4327cb64587e.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/0860adb7-95fe-4f0d-8da6-6f954037b29c.xls
"Feb 06, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19125167,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/aeb1f9a6-8e7a-4d02-9a36-50013d474d9c.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/11026078-340a-41d7-a82b-c652c5e848cc.xls
"Feb 06, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19125113,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/84953d51-4b46-40fc-a549-2ea71ddcbc5d.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/61a6764f-ceac-45fb-b475-dc1ceedf9f05.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112943,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/25a45906-97af-4d6b-bbbb-87d187eeacbb.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/4eb66e0c-e7f3-4d8e-9ba1-567c151d82fd.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112883,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/7cfbf09b-b032-4b63-9534-3723ffddc55c.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/8708d967-ee70-4cd6-ad7a-7edb95dd662a.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112910,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/64e66d59-2700-4038-ae7f-47d45fd02933.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/14b44bd1-0ca5-46c7-8d2f-5a46832433a1.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112927,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/57e978b1-a923-456d-be51-191a940c020d.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/88507271-f787-43af-990b-e81c1c15927f.xls
"Feb 03, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19112790,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/ecfcfa3d-8f64-4c28-b222-3f100f05820b.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/deb3c7e2-920f-4116-9a89-6835efbb7b03.xls
