date,title,link
2026-05-05,American Express Declares Dividend on Series D Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2026/American-Express-Declares-Dividend-on-Series-D-Preferred-Stock-7859ad039/default.aspx
2026-05-04,American Express to Participate in Upcoming Investor Conferences,/news/investor-relations-news/investor-relations-news-details/2026/American-Express-to-Participate-in-Upcoming-Investor-Conferences/default.aspx
2026-05-04,"Long Lake, Backed by General Catalyst, to Purchase American Express Stake in Global Business Travel Group, Inc., as GBTG Agrees to be Acquired",/news/investor-relations-news/investor-relations-news-details/2026/Long-Lake-Backed-by-General-Catalyst-to-Purchase-American-Express-Stake-in-Global-Business-Travel-Group-Inc--as-GBTG-Agrees-to-be-Acquired/default.aspx
2026-04-23,American Express Reports First-Quarter 2026 Financial Results,/news/investor-relations-news/investor-relations-news-details/2026/American-Express-Reports-First-Quarter-2026-Financial-Results/default.aspx
2026-03-25,2026 Chairman's Letter to Shareholders,https://www.americanexpress.com/en-us/newsroom/articles/financial-news/2026-chairman-s-letter-to-shareholders.html
2026-03-04,American Express Updates First-Quarter 2026 Earnings Date and Plans to Host Live Audio Webcast of Annual Meeting of Shareholders,/news/investor-relations-news/investor-relations-news-details/2026/American-Express-Updates-First-Quarter-2026-Earnings-Date-and-Plans-to-Host-Live-Audio-Webcast-of-Annual-Meeting-of-Shareholders/default.aspx
2026-03-02,American Express Board Authorizes 16 Percent Increase in Common Shares Dividend,/news/investor-relations-news/investor-relations-news-details/2026/American-Express-Board-Authorizes-16-Percent-Increase-in-Common-Shares-Dividend/default.aspx
2026-01-30,American Express Reports Full-Year and Fourth-Quarter 2025 Financial Results,/news/investor-relations-news/investor-relations-news-details/2026/American-Express-Reports-Full-Year-and-Fourth-Quarter-2025-Financial-Results/default.aspx
2026-01-20,American Express Declares Dividend on Series D Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2026/American-Express-Declares-Dividend-on-Series-D-Preferred-Stock/default.aspx
2026-01-09,American Express to Participate in UBS Financial Services Conference,/news/investor-relations-news/investor-relations-news-details/2026/American-Express-to-Participate-in-UBS-Financial-Services-Conference/default.aspx
2025-12-19,American Express Announces Fourth-Quarter 2025 and 2026 Earnings Conference Call Dates – UPDATED*,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Announces-Fourth-Quarter-2025-and-2026-Earnings-Conference-Call-Dates/default.aspx
2025-12-17,American Express Declares Regular Quarterly Dividend on Common Shares,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Declares-Regular-Quarterly-Dividend-on-Common-Shares/default.aspx
2025-10-27,American Express Declares Dividend on Series D Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Declares-Dividend-on-Series-D-Preferred-Stock-9e2acfbaf/default.aspx
2025-10-17,American Express Reports Third-Quarter 2025 Financial Results,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Reports-Third-Quarter-2025-Financial-Results/default.aspx
2025-10-13,American Express to Participate in Upcoming Investor Conferences,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-to-Participate-in-Upcoming-Investor-Conferences-f19c51fdd/default.aspx
2025-09-24,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Declares-Regular-Quarterly-Dividend-26cac9db4/default.aspx
2025-09-18,"There’s Nothing Like Platinum™: American Express Unveils Updated U.S. Consumer and Business Platinum Cards, Each with Over $3,500 in Annual Value",/news/investor-relations-news/investor-relations-news-details/2025/Theres-Nothing-Like-Platinum-American-Express-Unveils-Updated-U-S--Consumer-and-Business-Platinum-Cards-Each-with-Over-3500-in-Annual-Value/default.aspx
2025-09-17,American Express Plans Live Audio Webcast of Third-Quarter 2025 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Plans-Live-Audio-Webcast-of-Third-Quarter-2025-Earnings-Conference-Call/default.aspx
2025-08-06,American Express to Participate in Barclays Global Financial Services Conference,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-to-Participate-in-Barclays-Global-Financial-Services-Conference/default.aspx
2025-07-23,American Express Elects Randal K. Quarles and Noel Wallace to Board of Directors,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Elects-Randal-K--Quarles-and-Noel-Wallace-to-Board-of-Directors/default.aspx
2025-07-22,American Express Declares Dividend on Series D Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Declares-Dividend-on-Series-D-Preferred-Stock-c27a8b8e9/default.aspx
2025-07-18,"American Express Delivers Record Second-Quarter Revenue of $17.9 Billion, Up 9% Year-Over-Year, and Earnings Per Share of $4.08",/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Delivers-Record-Second-Quarter-Revenue-of-17-9-Billion-Up-9-Year-Over-Year-and-Earnings-Per-Share-of-4-08/default.aspx
2025-07-01,American Express Announces 2025 Preliminary Stress Capital Buffer Requirement,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Announces-2025-Preliminary-Stress-Capital-Buffer-Requirement/default.aspx
2025-06-18,American Express Plans Live Audio Webcast of Second-Quarter 2025 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Plans-Live-Audio-Webcast-of-Second-Quarter-2025-Earnings-Conference-Call/default.aspx
2025-06-17,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Declares-Regular-Quarterly-Dividend/default.aspx
2025-06-16,American Express Announces Major Updates Coming to U.S. Consumer and Business Platinum Cards® Later This Year,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Announces-Major-Updates-Coming-to-U-S--Consumer-and-Business-Platinum-Cards-Later-This-Year/default.aspx
2025-06-12,New Coinbase One Card to Launch on the American Express Network,/news/investor-relations-news/investor-relations-news-details/2025/New-Coinbase-One-Card-to-Launch-on-the-American-Express-Network/default.aspx
2025-05-06,American Express to Participate in Upcoming Investor Conferences,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-to-Participate-in-Upcoming-Investor-Conferences/default.aspx
2025-05-01,American Express Declares Dividend on Series D Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Declares-Dividend-on-Series-D-Preferred-Stock-5f9e0d8b2/default.aspx
2025-04-17,"American Express Delivers Strong First-Quarter Results With Revenue of $17.0 Billion, up 7%, or 8% on an FX-Adjusted Basis",/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Delivers-Strong-First-Quarter-Results-With-Revenue-of-17-0-Billion-up-7-or-8-on-an-FX-Adjusted-Basis/default.aspx
2025-04-16,American Express Completes Acquisition of Center,/news/investor-relations-news/investor-relations-news-details/2025/American-Express-Completes-Acquisition-of-Center/default.aspx
