date,type,description,company,document
2026-05-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000249/
2026-05-07,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000231/
2026-05-04,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000203/
2026-05-04,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000207/
2026-04-23,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000188/
2026-04-23,10-Q,Quarterly Report - Q1 2026,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000192/
2026-04-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000148/
2026-03-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000121/
2026-03-02,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000112/
2026-02-25,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000107/
2026-02-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000102/
2026-02-10,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000094/
2026-02-06,10-K,Annual Report for FY 2025,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000080/
2026-01-30,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000037/
2026-01-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496226000028/
2025-12-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496225000265/
2025-11-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496225000259/
2025-10-24,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496225000231/
2025-10-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496225000218/
2025-10-17,10-Q,Quarterly Report - Q3 2025,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496225000222/
2025-10-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496225000210/
